# trabajador,distrito,2019-2020,2020-2021,2021-2022,2022-2023,economicos,
3095,Villahermosa,0,0,18,18,3,
642,Villahermosa,0,0,0,9,2,
3065,Villahermosa,0,0,0,7,1,
3018,Villahermosa,0,0,0,21,0,
3097,Villahermosa,0,0,2,14,0,
3043,Villahermosa,0,0,7,16,0,
3099,Villahermosa,0,0,0,6,0,
3080,Villahermosa,0,0,5,16,0,
39,Villahermosa,0,0,0,5,0,
3199,Villahermosa,0,0,0,0,0,
3030,Villahermosa,0,0,0,2,0,
3054,Villahermosa,0,0,5,16,0,
3093,Villahermosa,0,0,0,6,0,
3102,Villahermosa,0,0,12,16,0,
3107,Villahermosa,0,0,0,0,0,
1031,Villahermosa,0,0,12,16,0,
3010,Villahermosa,0,0,12,16,0,
3113,Villahermosa,0,0,7,16,0,
3148,Villahermosa,0,0,0,8,0,
3190,Villahermosa,0,0,0,6,0,
1085,Villahermosa,0,0,4,18,0,
3146,Villahermosa,0,0,13,16,0,
3109,Villahermosa,0,0,9,18,0,
3066,Villahermosa,0,0,9,16,0,
3004,Villahermosa,0,0,0,14,0,
